Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
07107.png,0.00123654,8.51303,0.220932,1.50546e+09,-0.40114,0.9924,622.034,3.13201,561.185,212.268,6.01721,62806.5
02102.png,0.000677289,8.41569,0.185425,1.78693e+09,-0.408098,0.99273,426.983,2.97721,380.434,196.253,5.96677,52528.4
11902.png,0.00016042,9.29332,0.0814514,6.8919e+09,-0.294783,0.977862,746.503,3.64734,648.646,209.751,6.12837,59557.1
03910.png,0.00176678,8.4657,0.21698,2.2093e+09,-0.397981,0.991889,684.922,3.18857,619.211,267.068,5.95324,100578
18047.png,0.0012131,8.24788,0.23526,3.82685e+09,-0.447688,0.99533,294.505,2.97377,252.701,304.528,5.98582,108591
19047.png,0.00165869,7.39185,0.30957,1.23663e+09,-0.494781,0.995828,154.074,2.31387,138.447,319.218,5.57301,110797
15218.png,0.00169652,8.65172,0.152542,1.17369e+09,-0.375896,0.990056,462.586,3.20477,408.084,185.263,6.00374,53220.5
06511.png,0.000692203,8.25265,0.215408,2.48582e+09,-0.453589,0.995707,283.254,2.75831,251.197,205.577,6.01284,61884.8
02233.png,0.000385507,9.04915,0.125671,5.38418e+09,-0.329635,0.984594,553.708,3.56435,467.881,231.282,6.09919,74461.7
17573.png,0.000785755,8.3002,0.184937,1.31505e+09,-0.380281,0.988989,298.518,2.98167,258.476,231.791,5.79035,61641.7
19483.png,0.000384102,8.48535,0.106476,5.05575e+08,-0.307815,0.975183,256.936,3.13709,212.691,152.229,5.68681,27788.1
16067.png,0.00129795,7.78025,0.331619,1.8423e+09,-0.523271,0.997818,162.498,2.37113,144.259,202.363,5.93118,57139
17118.png,0.000262019,8.73159,0.103394,1.17936e+09,-0.300673,0.975127,359.13,3.41633,293.285,216.269,5.7862,53749.3
16934.png,0.00029124,8.80759,0.105164,2.1018e+09,-0.322823,0.981576,425.9,3.31941,365.024,223.948,5.91434,61735.8
00141.png,0.00154864,7.88781,0.316238,2.69805e+09,-0.502353,0.997271,253.214,2.56461,225.644,294.275,5.92491,95698.4
16046.png,0.00290838,7.71597,0.328369,6.30527e+08,-0.48384,0.996068,360.75,2.61453,328.667,182.557,5.73582,49297.6
04463.png,0.000880018,8.68874,0.159027,8.51822e+08,-0.340105,0.984496,598.403,3.32943,528.182,162.991,5.91359,40996.4
16714.png,0.00064503,8.28958,0.205444,2.45623e+09,-0.431759,0.99434,295.421,2.87873,258.746,217.881,5.97075,67085.2
06677.png,0.00125894,7.95572,0.240829,1.17895e+09,-0.403458,0.990315,201.373,2.76037,172.403,273.09,5.651,78863.8
15442.png,0.000480826,8.49808,0.186401,1.82274e+09,-0.390437,0.991187,403.907,2.98893,359.95,186.835,5.95447,43805.7
15415.png,0.000674501,8.38245,0.22908,5.27394e+09,-0.4502,0.995821,277.686,2.7846,245.118,245.969,6.08541,77747.2
13427.png,0.000296948,9.03835,0.10585,5.12892e+09,-0.318415,0.982114,504.423,3.44872,430.617,264.994,6.04786,82871.1
02362.png,0.000301563,9.08422,0.109024,5.88205e+09,-0.322675,0.983366,897.045,3.59611,793.098,278.98,6.11654,93889
16454.png,0.00947999,6.8412,0.502213,3.50511e+08,-0.596217,0.998394,105.385,1.96855,95.3851,214.307,5.44149,57746
00768.png,0.005696,7.62545,0.354202,1.23789e+09,-0.526135,0.997661,177.88,2.45947,158.127,287.945,5.76954,103882
10737.png,0.0494903,6.98226,0.400558,5.98061e+07,-0.495701,0.994605,179.303,2.49128,156.889,159.935,5.15947,44340
01873.png,0.00331114,7.92024,0.309494,7.2987e+08,-0.482284,0.996466,273.696,2.65089,245.689,177.851,5.86349,47871.9
08327.png,0.000451483,8.6882,0.181488,4.60467e+09,-0.388726,0.991752,422.948,3.19939,365.675,232.97,6.06063,73013.9
15311.png,0.00280899,7.72911,0.279114,7.12518e+08,-0.450824,0.993985,241.745,2.61069,215.13,210.12,5.65078,57088.7
07890.png,0.0111138,6.63973,0.484207,1.00599e+08,-0.589891,0.997933,155.108,1.94085,144.679,100.707,5.28712,20876.7
17791.png,0.00164305,7.53692,0.349274,2.4371e+09,-0.556296,0.998375,130.837,2.17892,118.106,264.768,5.87852,89361.5
02709.png,0.00580355,7.46994,0.380829,1.00083e+09,-0.523575,0.997302,276.709,2.44636,253.171,319.848,5.68786,122637
14003.png,0.000995909,8.04326,0.24762,1.13841e+09,-0.442128,0.99436,232.393,2.76239,202.33,181.467,5.83101,51289.7
15319.png,0.00326048,7.32608,0.225525,7.26286e+08,-0.436014,0.990936,296.943,2.77994,265.93,356.83,5.24121,136287
05508.png,0.0507648,6.73233,0.403519,4.88214e+07,-0.546408,0.9966,65.2479,2.16016,55.2281,144.769,5.16245,37142
18020.png,0.000244492,9.07673,0.117569,6.27175e+09,-0.32717,0.984261,662.48,3.4741,579.405,257.139,6.1027,82734.3
09853.png,0.00251211,8.10612,0.263901,2.1619e+09,-0.48402,0.996927,204.526,2.62951,178.607,253.285,6.00532,85269.9
08295.png,0.000203639,9.22368,0.107529,6.25787e+09,-0.297968,0.978239,575.701,3.60836,484.707,237.113,6.09022,69844.3
13654.png,0.00150195,7.57788,0.293457,6.64248e+08,-0.507899,0.996897,129.5,2.27883,115.455,166.246,5.7464,37865.2
08037.png,0.00229093,7.97103,0.287628,1.82291e+09,-0.507076,0.997584,174.634,2.51374,153.071,221.793,6.006,75842
05493.png,0.00701237,8.11588,0.230057,5.58258e+08,-0.401808,0.990835,318.494,3.01927,275.952,230.312,5.70799,74534.5
11571.png,0.0163777,7.22967,0.406586,5.32012e+08,-0.531882,0.997136,330.223,2.39984,305.018,347.092,5.52192,144539
00956.png,0.00123732,8.04459,0.314087,1.01207e+09,-0.453123,0.995132,293.949,2.74535,262.046,163.231,5.85264,41400.7
