Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
19341.png,0.000793894,8.3846,0.18396,8.81722e+08,-0.383268,0.989807,362.567,3.01853,316.841,164.885,5.85906,35853.5
07495.png,0.164381,4.84715,0.66452,5.36783e+07,-0.630646,0.99394,217.658,1.59456,208.057,306.413,3.92817,138232
17670.png,0.0138207,7.78692,0.247055,4.15998e+08,-0.458907,0.994768,162.118,2.71599,137.027,277.383,5.66737,96995.2
01097.png,0.117316,4.88182,0.646439,9.46369e+07,-0.633347,0.994284,183.778,1.68852,173.898,388.205,3.93839,177413
11792.png,0.000324625,8.88357,0.105637,1.38213e+09,-0.317121,0.980776,505.465,3.39672,434.675,161.786,5.95962,38510.9
18916.png,0.00117819,8.10603,0.224976,2.33531e+09,-0.48077,0.996786,226.65,2.61583,201.115,218.25,6.01846,69371.9
06940.png,0.000525306,8.47927,0.153305,1.96421e+09,-0.397972,0.991942,252.595,2.95263,214.717,198.727,5.97649,52823.2
16126.png,0.000360882,8.65947,0.13269,4.5464e+09,-0.393263,0.992134,381.916,3.05802,334.663,243.372,6.06615,74001.6
19196.png,0.00115937,8.17023,0.220291,8.42627e+08,-0.419847,0.992946,337.418,2.88639,299.034,161.791,5.84159,42878
14725.png,0.000456231,8.46294,0.153748,2.31207e+09,-0.405897,0.992694,334.98,2.90601,296.352,204.352,5.98581,54414.6
15070.png,0.0014703,7.73591,0.310226,1.25856e+09,-0.490402,0.99645,223.708,2.48767,201.982,250.393,5.78312,76071.8
15408.png,0.00170448,8.0271,0.256866,1.14647e+09,-0.474108,0.9963,290.49,2.64961,260.616,217.56,5.94783,71056.1
08605.png,0.000326238,8.65075,0.106598,8.81726e+08,-0.330274,0.982201,324.219,3.19166,273.833,161.07,5.85508,34788.2
08087.png,0.000829941,8.29734,0.178848,1.40563e+09,-0.419457,0.993351,645.019,2.90665,597.032,198.626,5.94627,65810.7
08157.png,0.000449324,8.866,0.129333,6.11388e+09,-0.369283,0.99014,352.827,3.22555,299.02,233.674,6.11511,72206.9
06504.png,0.000873194,7.89139,0.232773,8.09071e+08,-0.432448,0.99306,105.504,2.5937,85.3639,199.23,5.70941,44827.9
10437.png,0.00741915,7.69128,0.241608,6.51041e+08,-0.412607,0.990094,200.255,2.89182,167.761,317.814,5.45753,114269
11923.png,0.00143184,7.81268,0.221649,1.09691e+09,-0.469119,0.995493,232.45,2.52467,208.915,244.238,5.78104,75317.3
05975.png,0.0515464,6.8342,0.398514,9.16813e+07,-0.550223,0.996994,147.516,2.2586,132.669,206.044,5.23848,70542.5
09440.png,0.000720102,8.54676,0.149185,3.16119e+09,-0.39424,0.991809,203.523,2.98152,167.342,252.895,6.00337,79804.4
11567.png,0.000637,8.13841,0.170609,9.09701e+08,-0.42749,0.993504,127.526,2.64394,105.697,172.603,5.85798,40459.6
07651.png,0.0127313,6.11699,0.490646,4.30521e+07,-0.59226,0.996922,120.383,1.88195,110.757,72.9832,4.94498,12693
15822.png,0.000613101,8.18506,0.206024,2.95873e+09,-0.468779,0.996381,228.81,2.61488,203.679,213.84,6.02377,59212.2
16600.png,0.00103316,8.23417,0.188492,5.81263e+08,-0.390912,0.99007,390.946,2.94734,349.088,146.549,5.7869,30807.9
07962.png,0.00190491,8.4555,0.191818,2.94834e+09,-0.427689,0.994524,296.737,2.97381,256.373,263.598,6.03241,88966.6
04557.png,0.000919717,8.12582,0.172852,4.83274e+08,-0.36756,0.986037,307.59,2.99288,266.085,145.253,5.65036,36694.5
14681.png,0.000910418,8.30728,0.160629,1.16635e+09,-0.374425,0.98818,636.458,3.12815,575.683,218.611,5.77517,61913.2
07143.png,0.000521847,8.80273,0.174133,7.14425e+09,-0.382611,0.991517,460.657,3.24475,399.546,238.942,6.11143,74751.7
12546.png,0.000188947,9.22596,0.0650635,3.10245e+09,-0.247418,0.959126,473.894,3.67572,382.068,268.355,5.92466,80307
10920.png,0.000856335,7.92309,0.214691,8.71713e+08,-0.43432,0.993352,170.284,2.56312,148.441,189.816,5.73341,41194.1
04185.png,0.00443341,6.36002,0.304657,3.21818e+07,-0.4608,0.988226,476.428,2.11819,456.444,58.523,4.83254,8803.17
07824.png,0.00302926,7.37976,0.329346,4.0608e+08,-0.524172,0.997152,252.106,2.30776,232.906,154.005,5.66923,35185.5
01147.png,0.000918321,8.23983,0.185486,1.53681e+09,-0.432373,0.99423,257.619,2.79367,225.797,191.472,5.93548,56962.5
17982.png,0.000666101,8.17891,0.135056,5.00996e+08,-0.365497,0.986042,187.689,2.88473,155.833,148.647,5.6805,31962
19382.png,0.00057486,8.01319,0.173935,1.79163e+09,-0.424231,0.992776,60.8673,2.53532,44.7938,252.931,5.76829,69047.9
19094.png,0.033696,6.3878,0.419968,1.97328e+08,-0.530686,0.994709,122.301,2.23486,109.165,291.169,4.88331,119890
04812.png,0.00474688,7.21958,0.391052,1.4033e+09,-0.573688,0.998378,388.923,2.28843,366.414,303.369,5.68607,121161
01783.png,0.000700186,8.48075,0.194092,4.10457e+09,-0.423769,0.994299,525.453,2.98735,473.834,246.441,6.05409,80813
03349.png,0.000255606,8.79508,0.0824127,1.88173e+09,-0.326895,0.982434,250.378,3.19495,202.593,198.138,5.93266,49811.9
07080.png,0.00349224,6.99796,0.389587,5.28625e+08,-0.569735,0.99797,114.18,1.95236,104.954,211.273,5.54456,49824.5
05964.png,0.00025257,8.88625,0.0891113,2.64131e+09,-0.316949,0.980748,361.074,3.32469,302.108,232.23,5.94535,62539.7
00228.png,0.000548631,8.50674,0.170822,4.02798e+09,-0.413758,0.993565,239.184,2.95077,202.277,237.923,6.03827,72499.9
02877.png,0.00170382,7.49461,0.276337,6.79911e+08,-0.49563,0.99614,73.0195,2.33956,60.0825,177.02,5.65344,48297.5
11255.png,0.0019334,8.71943,0.159225,1.71118e+09,-0.355771,0.987451,587.186,3.44143,509.809,236.559,5.96837,79649.8
14878.png,0.000355428,8.79736,0.0989227,2.69388e+09,-0.353315,0.987474,446.455,3.27744,386.104,203.96,6.02546,60298
06766.png,0.000521198,8.19482,0.157196,1.07637e+09,-0.397854,0.990762,115.702,2.70135,92.7337,186.332,5.79795,41261
00664.png,0.000374653,8.77011,0.114502,1.1145e+09,-0.317641,0.980071,586.587,3.34124,514.1,186.116,5.87647,41716.3
01607.png,0.0058791,7.47034,0.223236,7.17782e+07,-0.362266,0.980199,489.571,2.95718,442.861,94.4972,5.24792,20606.5
12784.png,0.000403691,8.68876,0.132614,3.39056e+09,-0.362544,0.988368,405.451,3.16519,352.29,307.44,5.98527,108309
10043.png,0.000666819,8.21452,0.198166,2.09206e+09,-0.458459,0.995899,213.828,2.64521,187.991,188.356,6.01234,52026.8
14040.png,0.0172268,7.201,0.420349,4.22491e+08,-0.565825,0.998161,216.257,2.24071,197.667,296.468,5.59278,111926
19377.png,0.00271463,7.13884,0.47168,1.6081e+09,-0.617267,0.99908,167.327,1.96432,155.969,235.974,5.76138,67403.6
02070.png,0.0364249,7.24113,0.346649,2.06946e+08,-0.451329,0.992079,453.85,2.84452,410.611,313.916,5.21899,124466
18761.png,0.00214853,9.02292,0.122086,1.8652e+09,-0.268637,0.966503,744.551,3.83244,623.53,336.235,5.8748,125053
09881.png,0.00280183,7.56587,0.244354,6.14816e+08,-0.452915,0.99358,82.2728,2.43693,67.1724,211.111,5.54674,57659.2
03084.png,0.00267502,7.27817,0.44664,1.83177e+09,-0.604366,0.999011,212.123,2.06287,197.958,232.631,5.83865,76283.2
19865.png,0.00167157,7.67983,0.241348,1.09432e+09,-0.472233,0.995319,162.248,2.49011,142.193,240.484,5.69306,76111.6
16081.png,0.000665079,8.68606,0.178543,3.53402e+09,-0.38105,0.990853,753.991,3.28732,677.748,256.836,6.04623,83298.2
16507.png,0.0021317,8.13977,0.232864,1.03271e+09,-0.424429,0.993251,353.972,2.89946,313.06,224.52,5.83558,71932.9
